Year,Month,Day,Y
2012,10,3,83.174904
2012,10,4,83.174904
2012,10,5,85.551331
2012,10,8,83.174904
2012,10,9,83.174904
2012,10,11,83.174904
2012,10,12,83.174904
2012,10,15,83.174904
2012,10,16,83.174904
2012,10,17,83.174904
2012,10,18,83.174904
2012,10,19,83.174904
2012,10,22,83.174904
2012,10,23,83.174904
2012,10,24,83.174904
2012,10,25,83.174904
2012,10,26,83.174904
2012,10,29,83.174904
2012,10,30,83.174904
2012,10,31,83.174904
2012,11,1,78.897339
2012,11,2,83.174904
2012,11,5,83.174904
2012,11,6,83.174904
2012,11,7,83.174904
2012,11,8,83.174904
2012,11,9,83.174904
2012,11,12,83.174904
2012,11,13,83.174904
2012,11,14,83.174904
2012,11,15,83.174904
2012,11,16,83.174904
2012,11,19,83.174904
2012,11,20,83.174904
2012,11,21,83.174904
2012,11,22,83.174904
2012,11,23,83.174904
2012,11,26,83.174904
2012,11,27,83.174904
2012,11,28,83.174904
2012,11,29,83.174904
2012,11,30,83.174904
2012,12,3,83.174904
2012,12,4,83.174904
2012,12,5,83.174904
2012,12,6,83.174904
2012,12,7,83.174904
2012,12,10,83.174904
2012,12,11,83.174904
2012,12,12,77.091255
2012,12,13,73.669205
2012,12,14,73.479088
2012,12,17,72.433456
2012,12,18,68.63118
2012,12,19,68.726234
2012,12,20,65.494293
2012,12,21,64.543724
2012,12,24,65.494293
2012,12,25,69.106461
2012,12,26,67.110268
2012,12,27,67.680611
2012,12,28,66.730042
2013,1,2,65.874527
2013,1,3,66.254753
2013,1,4,67.205322
2013,1,7,65.874527
2013,1,8,64.543724
2013,1,9,64.92395
2013,1,10,64.733841
2013,1,11,64.448669
2013,1,14,65.399239
2013,1,15,63.688213
2013,1,16,63.403042
2013,1,17,67.775665
2013,1,18,68.916351
2013,1,21,68.250954
2013,1,22,70.152092
2013,1,23,69.486694
2013,1,24,68.250954
2013,1,25,67.015205
2013,1,28,66.825096
2013,1,29,67.110268
2013,1,30,71.768059
2013,1,31,72.908745
2013,2,1,71.387833
2013,2,4,70.342201
2013,2,5,71.292778
2013,2,6,70.532318
2013,2,18,69.106461
2013,2,19,69.201523
2013,2,20,69.581749
2013,2,21,67.87072
2013,2,22,66.920151
2013,2,25,67.490494
2013,2,26,66.064636
2013,2,27,66.159698
2013,3,1,68.346008
2013,3,4,67.110268
2013,3,5,66.825096
2013,3,6,66.825096
2013,3,7,66.159698
2013,3,8,66.444862
2013,3,11,65.68441
2013,3,12,66.064636
2013,3,13,64.638786
2013,3,14,63.688213
2013,3,15,63.783268
2013,3,18,62.262356
2013,3,19,62.262356
2013,3,20,61.596958
2013,3,21,61.787071
2013,3,22,60.361217
2013,3,25,58.745247
2013,3,26,59.030418
2013,3,27,58.555134
2013,3,28,59.220531
2013,3,29,58.840305
2013,4,1,56.558933
2013,4,2,55.703423
2013,4,3,56.273766
2013,4,8,57.509506
2013,4,9,56.178707
2013,4,10,55.228134
2013,4,11,54.087452
2013,4,12,51.996197
2013,4,15,48.954372
2013,4,16,48.288975
2013,4,17,47.528519
2013,4,18,50.855515
2013,4,19,48.669201
2013,4,22,48.288975
2013,4,23,48.859314
2013,4,24,48.193916
2013,4,25,47.148289
2013,4,26,47.290874
2013,4,29,46.863117
2013,4,30,48.003803
2013,5,2,48.003803
2013,5,3,47.623573
2013,5,6,47.718632
2013,5,7,47.243347
2013,5,8,47.623573
2013,5,9,47.908745
2013,5,10,49.61977
2013,5,13,48.193916
2013,5,14,47.243347
2013,5,15,47.528519
2013,5,16,47.718632
2013,5,17,47.148289
2013,5,20,47.43346
2013,5,21,48.003803
2013,5,22,47.813686
2013,5,23,48.859314
2013,5,24,48.003803
2013,5,27,48.288975
2013,5,28,51.615971
2013,5,29,54.087452
2013,5,30,52.94677
2013,5,31,55.13308
2013,6,3,55.418251
2013,6,4,53.517109
2013,6,5,52.376427
2013,6,6,51.806084
2013,6,7,48.574142
2013,6,10,48.384029
2013,6,11,48.384029
2013,6,13,47.243347
2013,6,14,46.19772
2013,6,17,47.338402
2013,6,18,46.958176
2013,6,19,47.43346
2013,6,20,46.340305
2013,6,21,44.86692
2013,6,24,45.437263
2013,6,25,43.821293
2013,6,26,44.391636
2013,6,27,44.534222
2013,6,28,44.534222
2013,7,1,44.676807
2013,7,2,45.247147
2013,7,3,45.294678
2013,7,4,44.771862
2013,7,5,44.86692
2013,7,8,43.25095
2013,7,9,42.300381
2013,7,10,42.300381
2013,7,11,43.25095
2013,7,12,43.25095
2013,7,15,43.060837
2013,7,16,43.63118
2013,7,17,43.060837
2013,7,18,42.300381
2013,7,19,41.825096
2013,7,22,41.444866
2013,7,23,42.775665
2013,7,24,42.870724
2013,7,25,43.821293
2013,7,26,43.298477
2013,7,29,43.25095
2013,7,30,42.965778
2013,7,31,42.110268
2013,8,1,41.634979
2013,8,2,41.397339
2013,8,5,41.777565
2013,8,6,42.062737
2013,8,7,41.920151
2013,8,8,41.207226
2013,8,9,42.157795
2013,8,12,41.254753
2013,8,13,41.254753
2013,8,14,43.346008
2013,8,15,42.490494
2013,8,16,45.247147
2013,8,19,44.296577
2013,8,20,42.775665
2013,8,22,40.874523
2013,8,23,40.589352
2013,8,26,40.30418
2013,8,27,39.068439
2013,8,28,37.927757
2013,8,29,38.355515
2013,8,30,38.307983
2013,9,2,38.878326
2013,9,3,38.783268
2013,9,4,38.545628
2013,9,5,38.545628
2013,9,6,39.781368
2013,9,9,38.830799
2013,9,10,38.545628
2013,9,11,38.022812
2013,9,12,38.022812
2013,9,13,37.832699
2013,9,16,37.642586
2013,9,17,37.262356
2013,9,18,36.787071
2013,9,23,37.262356
2013,9,24,37.262356
2013,9,25,38.070343
2013,9,26,37.452473
2013,9,27,37.167301
2013,9,30,36.977184
2013,10,1,36.834599
2013,10,2,36.739544
2013,10,3,36.929657
2013,10,4,36.977184
2013,10,7,36.596958
2013,10,8,36.264259
2013,10,9,35.266159
2013,10,11,33.365021
2013,10,14,32.319389
2013,10,15,32.652092
2013,10,16,32.557034
2013,10,17,33.269962
2013,10,18,33.555134
2013,10,21,33.079845
2013,10,22,33.31749
2013,10,23,33.222431
2013,10,24,33.269962
2013,10,25,35.598858
2013,10,28,35.598858
2013,10,29,35.028519
2013,10,30,34.885929
2013,10,31,34.648289
2013,11,1,34.410645
2013,11,4,33.840305
2013,11,5,33.127377
2013,11,6,32.794678
2013,11,7,32.984791
2013,11,8,32.604561
2013,11,11,30.323193
2013,11,12,29.372623
2013,11,13,28.754751
2013,11,14,29.134979
2013,11,15,29.087452
2013,11,18,28.897339
2013,11,19,29.277567
2013,11,20,29.46768
2013,11,21,30.180609
2013,11,22,29.990494
2013,11,25,29.990494
2013,11,26,30.180609
2013,11,27,30.370722
2013,11,28,30.988592
2013,11,29,31.178707
2013,12,2,31.939163
2013,12,3,32.319389
2013,12,4,31.749048
2013,12,5,32.319389
2013,12,6,32.36692
2013,12,9,32.984791
2013,12,10,32.604561
2013,12,11,32.034222
2013,12,12,31.844107
2013,12,13,31.606462
2013,12,16,31.463879
2013,12,17,31.558935
2013,12,18,30.75095
2013,12,19,30.418249
2013,12,20,30.798479
2013,12,23,32.937263
